"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000032080",14291.817820761,-5.04940305923945,0.251952097635319,-20.0411233191956,2.41261013993144e-89,4.02471623543363e-85,"Apoa4"
"ENSMUSG00000024526",465.87904057095,-6.89875038071526,0.34659786372613,-19.9041918682062,3.74278923935366e-88,3.12186050454489e-84,"Cidea"
"ENSMUSG00000069170",343.928323594871,-4.05808344768568,0.253507932847091,-16.0077177945095,1.12874721852708e-57,6.27658703315625e-54,"Gpr98"
"ENSMUSG00000042041",651.002326876615,-3.18879830769903,0.20366517802941,-15.6570619413327,2.97318548586217e-55,1.23996700687882e-51,"2010003K11Rik"
"ENSMUSG00000032231",883.324337619713,-2.58604293458338,0.176729903620997,-14.6327411581078,1.73647573696414e-48,5.79357764880717e-45,"Anxa2"
"ENSMUSG00000026043",833.867936897615,-2.46575350121176,0.171552106859386,-14.3732044237313,7.62213368291837e-47,2.11920723497407e-43,"Col3a1"
"ENSMUSG00000034634",199.350753769816,-5.34654112573484,0.375824990750009,-14.2261458320404,6.30628817541743e-46,1.50287856203305e-42,"Ly6d"
"ENSMUSG00000038576",842.879994522801,2.22226198050809,0.156746731587658,14.1774055382159,1.26435189684486e-45,2.63648979289574e-42,"Susd4"
"ENSMUSG00000028051",339.399128135267,-3.61741658826182,0.257267492718855,-14.0609159362974,6.60260854860197e-45,1.22383017564198e-41,"Hcn3"
"ENSMUSG00000067225",6670.87266664328,3.03476270843944,0.221043886098867,13.7292316109665,6.78492607295387e-43,1.13186136749017e-39,"Cyp2c54"
"ENSMUSG00000030278",454.428775970098,-3.78888164464155,0.277265023286587,-13.6651987319918,1.63855828394345e-42,2.48494811752224e-39,"Cidec"
"ENSMUSG00000042248",9297.15167240665,2.62705663450891,0.200119213375621,13.1274583294407,2.29221623635416e-39,3.18656260457167e-36,"Cyp2c37"
"ENSMUSG00000017723",355.412021556401,-2.78274052524701,0.21449092831898,-12.9736979883301,1.72502741696058e-38,2.21360825921049e-35,"Wfdc2"
"ENSMUSG00000022364",407.59485645732,-2.23640277613538,0.175556089650954,-12.7389643992519,3.59130184550541e-37,4.27929267048009e-34,"Wdr67"
"ENSMUSG00000041237",6257.96125240403,-2.60010121889573,0.214248863365821,-12.1358927092937,6.81625539149211e-34,7.58058482939142e-31,"Pklr"
"ENSMUSG00000026638",853.932336194695,1.65131507786151,0.143134605535382,11.5367983282933,8.60694808295343e-31,8.97381924498932e-28,"Irf6"
"ENSMUSG00000026475",3141.25707045318,-5.09527309782871,0.443873113534457,-11.479120817335,1.67979902709791e-30,1.64837690412043e-27,"Rgs16"
"ENSMUSG00000028179",10149.8653904371,1.61128310254031,0.140698444772448,11.4520320757365,2.29696839413096e-30,2.12877926393848e-27,"Cth"
"ENSMUSG00000027712",2478.84465601074,-1.48575515677678,0.130144207418393,-11.4162219452481,3.46992658273973e-30,3.04659553964549e-27,"Anxa5"
"ENSMUSG00000029661",296.522745348694,-2.72987777278137,0.240240602207446,-11.3630991085518,6.38390107356113e-30,5.32481188545733e-27,"Col1a2"
"ENSMUSG00000053168",172.28114201942,-2.56411546018315,0.226095966054443,-11.3408279896764,8.23614865252104e-30,6.54263961054076e-27,"9030619P08Rik"
"ENSMUSG00000017718",691.54649922209,1.59646752208074,0.141123041750412,11.312592913808,1.13679583599266e-29,8.62001278910432e-27,"Afmid"
"ENSMUSG00000049723",92.1254767114568,-4.39733940095661,0.390495585272926,-11.2609196282801,2.04612229042849e-29,1.48406139343165e-26,"Mmp12"
"ENSMUSG00000055730",4310.69530525173,2.10283707036047,0.188480213453658,11.1568054377098,6.63324686325568e-29,4.61065934053463e-26,"Ces2a"
"ENSMUSG00000021208",324.657083277417,-2.65567947524923,0.238637253172522,-11.1285201281181,9.11359458638673e-29,6.08131939560414e-26,"Ifi27l2b"
"ENSMUSG00000054827",13037.0471280994,1.89700340103974,0.172785968384046,10.9789204458045,4.82657085823051e-28,3.09680211757697e-25,"Cyp2c50"
"ENSMUSG00000026890",199.895713707567,-2.51585075309987,0.230275599439375,-10.9253900944126,8.71650486560557e-28,5.38550867289008e-25,"Lhx6"
"ENSMUSG00000030302",111.769821375382,-3.94723088027812,0.363114749449032,-10.8704779584619,1.59363786768873e-27,9.49466675313696e-25,"Atp2b2"
"ENSMUSG00000060317",944.115603028323,-1.81549759818094,0.167453268557221,-10.8418164292838,2.18097114808667e-27,1.25458485146144e-24,"Acnat2"
"ENSMUSG00000021336",1488.47075847574,-1.71313308549267,0.15806917271558,-10.8378696241751,2.27711925369743e-27,1.26623011300602e-24,"Slc17a4"
"ENSMUSG00000073460",101.790613329655,-3.55616843062919,0.328371586371726,-10.829708105754,2.48947624154464e-27,1.33965944069186e-24,"Pnldc1"
"ENSMUSG00000020604",651.100964844005,-1.58251616628852,0.146884697325955,-10.7738668159334,4.5737923360111e-27,2.38437511716679e-24,"Arsg"
"ENSMUSG00000022371",1414.69602168656,-1.6988835766252,0.158168625954726,-10.7409643750176,6.53580679577718e-27,3.30394936264106e-24,"Col14a1"
"ENSMUSG00000025002",280.297446450039,2.44107905605309,0.228575305350424,10.6795397355402,1.26899255235412e-26,6.22627463481511e-24,"Cyp2c55"
"ENSMUSG00000041577",856.977399958834,-1.40321298071087,0.131666797099756,-10.6573032200954,1.61204096404213e-26,7.6834478177574e-24,"Prelp"
"ENSMUSG00000001506",196.729373536273,-3.42466624480636,0.325189287314638,-10.5313009327174,6.19720147840548e-26,2.8717143072989e-23,"Col1a1"
"ENSMUSG00000026956",244.431238639767,-2.35127845329366,0.223537403903182,-10.5185012093638,7.09938916966487e-26,3.20086513860404e-23,"Uap1l1"
"ENSMUSG00000037953",112.453080850094,-6.84460990612419,0.650974097953636,-10.514412059774,7.41417873586645e-26,3.25482446504537e-23,"A4gnt"
