"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0044281"	8.06864979493715e-26	1	327	1509	"small molecule metabolic process"	"BP"
"GO:0006082"	8.27863876096034e-26	1	214	832	"organic acid metabolic process"	"BP"
"GO:0043436"	4.07963704869229e-25	1	209	814	"oxoacid metabolic process"	"BP"
"GO:0019752"	6.4183610407198e-24	1	200	781	"carboxylic acid metabolic process"	"BP"
"GO:0032787"	2.21314170357661e-22	1	140	481	"monocarboxylic acid metabolic process"	"BP"
"GO:0006629"	1.57490117096849e-20	1	229	1001	"lipid metabolic process"	"BP"
"GO:0042221"	2.05835413784175e-20	1	490	2689	"response to chemical"	"BP"
"GO:0007155"	4.43321853369896e-19	1	207	888	"cell adhesion"	"BP"
"GO:0022610"	6.94177569194696e-19	1	208	897	"biological adhesion"	"BP"
"GO:0006631"	1.3763351207345e-18	1	102	331	"fatty acid metabolic process"	"BP"
"GO:0043062"	2.20892679486034e-18	1	77	213	"extracellular structure organization"	"BP"
"GO:0004497"	5.16196291759244e-18	1	51	110	"monooxygenase activity"	"MF"
"GO:0030198"	1.68753940996289e-17	1	66	171	"extracellular matrix organization"	"BP"
"00982"	2.5775078496492e-17	1	41	79	"Drug metabolism - cytochrome P450"	"KEGG"
"GO:0008395"	1.10633287127853e-16	1	34	57	"steroid hydroxylase activity"	"MF"
"GO:0016491"	4.59595660210373e-16	1	153	649	"oxidoreductase activity"	"MF"
"00980"	6.88436143980467e-16	1	37	71	"Metabolism of xenobiotics by cytochrome P450"	"KEGG"
"GO:0048037"	4.04175568382313e-15	1	118	456	"cofactor binding"	"MF"
"GO:0001525"	4.91978746200427e-15	1	110	408	"angiogenesis"	"BP"
"01100"	1.09153554304023e-14	1	207	998	"Metabolic pathways"	"KEGG"
"GO:0050896"	2.13038310800602e-14	1	834	5424	"response to stimulus"	"BP"
"GO:0016712"	3.14562284859884e-14	1	29	49	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"MF"
"GO:0030334"	3.75384150692056e-14	1	153	662	"regulation of cell migration"	"BP"
"GO:2000145"	4.45296037294602e-14	1	158	693	"regulation of cell motility"	"BP"
"GO:0055114"	5.09138858255589e-14	1	174	808	"oxidation-reduction process"	"BP"
"GO:0048514"	5.24528058077135e-14	1	122	487	"blood vessel morphogenesis"	"BP"
"GO:0016705"	1.15894029367477e-13	1	58	165	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"MF"
"GO:0035239"	1.20041415058123e-13	1	156	686	"tube morphogenesis"	"BP"
"GO:0040012"	1.32544340550233e-13	1	165	743	"regulation of locomotion"	"BP"
"GO:0051270"	1.56548517462956e-13	1	165	745	"regulation of cellular component movement"	"BP"
"GO:0038023"	2.90332425543691e-13	1	128	530	"signaling receptor activity"	"MF"
"GO:0060089"	2.90332425543691e-13	1	128	530	"molecular transducer activity"	"MF"
"GO:0016477"	3.1896285061009e-13	1	209	1020	"cell migration"	"BP"
"GO:0040011"	3.37054649527607e-13	1	241	1224	"locomotion"	"BP"
"GO:0005509"	4.1773643906204e-13	1	97	368	"calcium ion binding"	"MF"
"GO:0070887"	5.81614862966673e-13	1	358	2013	"cellular response to chemical stimulus"	"BP"
"GO:0001568"	6.11222457820852e-13	1	133	565	"blood vessel development"	"BP"
"GO:0020037"	1.4519400127936e-12	1	44	113	"heme binding"	"MF"
"GO:0048646"	1.53421238037854e-12	1	175	821	"anatomical structure formation involved in morphogenesis"	"BP"
"GO:0009653"	1.79657159617208e-12	1	337	1870	"anatomical structure morphogenesis"	"BP"
"GO:0005102"	1.79846022218354e-12	1	215	1085	"signaling receptor binding"	"MF"
"GO:0044255"	2.0264526671985e-12	1	164	765	"cellular lipid metabolic process"	"BP"
"GO:0004888"	2.08605249855985e-12	1	100	388	"transmembrane signaling receptor activity"	"MF"
"GO:0001676"	2.13330019518011e-12	1	35	77	"long-chain fatty acid metabolic process"	"BP"
