"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0002376",1.53645312654659e-19,1,235,2177,"immune system process","BP"
"GO:0006955",8.04754149531845e-17,1,150,1242,"immune response","BP"
"GO:0001775",8.14332613516311e-17,1,120,891,"cell activation","BP"
"GO:0050896",1.17556975058268e-15,1,567,7145,"response to stimulus","BP"
"GO:0045321",1.62465154914936e-14,1,105,789,"leukocyte activation","BP"
"GO:0002682",5.1207340966809e-14,1,138,1189,"regulation of immune system process","BP"
"GO:0046649",8.31319531920632e-14,1,92,667,"lymphocyte activation","BP"
"GO:0006952",6.97925816357555e-13,1,141,1267,"defense response","BP"
"GO:0002684",4.36289587672686e-12,1,102,831,"positive regulation of immune system process","BP"
"GO:0050776",1.17911415160456e-10,1,84,672,"regulation of immune response","BP"
"GO:0046651",1.28892291055176e-10,1,46,268,"lymphocyte proliferation","BP"
"GO:0032943",1.66155403190441e-10,1,46,270,"mononuclear cell proliferation","BP"
"GO:0070661",1.79637565376923e-10,1,47,280,"leukocyte proliferation","BP"
"GO:0006950",1.911304604568e-10,1,272,3150,"response to stress","BP"
"GO:0048584",1.94571259621445e-10,1,182,1893,"positive regulation of response to stimulus","BP"
"GO:0007165",2.48294234668193e-10,1,374,4608,"signal transduction","BP"
"GO:0048583",2.61352220300818e-10,1,286,3335,"regulation of response to stimulus","BP"
"GO:0051716",3.22174587034517e-10,1,456,5867,"cellular response to stimulus","BP"
"GO:0002521",8.15244153198925e-10,1,67,499,"leukocyte differentiation","BP"
"GO:0009605",1.11532238160667e-09,1,176,1853,"response to external stimulus","BP"
"GO:0050778",1.29386274362209e-09,1,69,533,"positive regulation of immune response","BP"
"GO:0002252",1.39915219119226e-09,1,80,661,"immune effector process","BP"
"GO:0042113",1.61804476989185e-09,1,44,270,"B cell activation","BP"
"GO:0023052",2.53236036973009e-09,1,399,5061,"signaling","BP"
"GO:0007154",2.58488335267277e-09,1,403,5123,"cell communication","BP"
"GO:0009617",5.96394898984844e-09,1,62,472,"response to bacterium","BP"
"GO:1901700",9.38046171473777e-09,1,124,1219,"response to oxygen-containing compound","BP"
"GO:0007166",1.51478312203999e-08,1,201,2257,"cell surface receptor signaling pathway","BP"
"04662",1.82459483354821e-08,0.999999996933847,20,75,"B cell receptor signaling pathway","KEGG"
"GO:0002764",3.81752110479671e-08,1,47,333,"immune response-regulating signaling pathway","BP"
"GO:0050865",4.2500830025379e-08,1,66,544,"regulation of cell activation","BP"
"GO:0048534",4.62516154157843e-08,1,93,861,"hematopoietic or lymphoid organ development","BP"
"GO:0002250",6.10556245449722e-08,1,51,382,"adaptive immune response","BP"
"GO:0042221",6.49900996617963e-08,1,273,3338,"response to chemical","BP"
"GO:0002520",8.32826099916321e-08,1,96,909,"immune system development","BP"
"GO:0042742",8.4439985874084e-08,0.999999974468785,37,233,"defense response to bacterium","BP"
"GO:0002253",8.80186058878987e-08,1,50,375,"activation of immune response","BP"
"GO:0002757",1.04218989735651e-07,0.999999971481433,45,319,"immune response-activating signal transduction","BP"
"GO:0035556",1.06059721146496e-07,1,205,2375,"intracellular signal transduction","BP"
"GO:0030097",1.07118507667741e-07,1,88,815,"hemopoiesis","BP"
"GO:0040011",1.12739633408343e-07,1,149,1592,"locomotion","BP"
"GO:0051707",1.32491962328126e-07,1,78,707,"response to other organism","BP"
"GO:0043207",1.39892957054096e-07,1,78,708,"response to external biotic stimulus","BP"
"GO:0002694",1.57312850641497e-07,1,61,505,"regulation of leukocyte activation","BP"
"GO:0070887",1.86199883420027e-07,1,206,2417,"cellular response to chemical stimulus","BP"
"GO:0051249",1.88135873845153e-07,1,54,429,"regulation of lymphocyte activation","BP"
"GO:1901701",2.00260054686312e-07,1,90,851,"cellular response to oxygen-containing compound","BP"
"GO:0002377",2.01773604324932e-07,0.99999994609686,27,147,"immunoglobulin production","BP"
"GO:0071310",2.73713367188994e-07,1,173,1962,"cellular response to organic substance","BP"
"GO:0010033",2.82869983850387e-07,1,207,2443,"response to organic substance","BP"
"05322",3.34075112967058e-07,0.999999919896616,23,116,"Systemic lupus erythematosus","KEGG"
"GO:0005515",3.6336019148781e-07,1,589,8295,"protein binding","MF"
"GO:0006928",4.42121046214486e-07,1,159,1761,"movement of cell or subcellular component","BP"
"GO:0002440",5.22008198472477e-07,0.999999827107476,34,221,"production of molecular mediator of immune response","BP"
"GO:0009607",5.30995657725559e-07,1,79,746,"response to biotic stimulus","BP"
"GO:0050818",5.45074511285789e-07,0.999999894250622,18,77,"regulation of coagulation","BP"
"GO:0050670",5.54234859450039e-07,0.999999819522666,33,210,"regulation of lymphocyte proliferation","BP"
"GO:0045087",6.75731915221351e-07,0.999999774479097,71,647,"innate immune response","BP"
"GO:0032944",6.92707328301623e-07,0.999999771935088,33,212,"regulation of mononuclear cell proliferation","BP"
"GO:0012501",7.22896642260641e-07,0.999999718522973,160,1809,"programmed cell death","BP"
"GO:0002237",7.6266337533534e-07,0.99999972502952,38,264,"response to molecule of bacterial origin","BP"
"GO:0030098",8.31005277658341e-07,0.999999697926206,45,337,"lymphocyte differentiation","BP"
"GO:0048870",8.38905898156998e-07,0.999999682081582,131,1393,"cell motility","BP"
"GO:0051674",8.38905898156998e-07,0.999999682081582,131,1393,"localization of cell","BP"
"GO:0030183",9.92058281150418e-07,0.999999755106889,22,110,"B cell differentiation","BP"
"GO:0008219",1.00390685392663e-06,0.999999604413136,170,1958,"cell death","BP"
"GO:0070663",1.31233666071634e-06,0.99999955196817,33,218,"regulation of leukocyte proliferation","BP"
"GO:0002478",1.45647283628034e-06,0.999999891019476,9,21,"antigen processing and presentation of exogenous peptide antigen","BP"
"GO:0051239",1.48286916053119e-06,0.99999920394606,228,2769,"regulation of multicellular organismal process","BP"
"GO:0016477",1.67728964348996e-06,0.999999175291901,121,1274,"cell migration","BP"
"GO:0009306",1.92128937550192e-06,0.999999197337553,61,530,"protein secretion","BP"
"GO:0050817",1.98246364804689e-06,0.999999411872689,26,153,"coagulation","BP"
"GO:0006915",2.22135390864214e-06,0.999998856559428,156,1781,"apoptotic process","BP"
"GO:0042100",2.29776012190705e-06,0.99999949973483,18,83,"B cell proliferation","BP"
"GO:0008284",2.46427789146495e-06,0.999998859127179,87,859,"positive regulation of cell proliferation","BP"
"GO:0050853",2.50660817603354e-06,0.999999419635635,19,93,"B cell receptor signaling pathway","BP"
"GO:0042127",2.52742042236488e-06,0.999998720467365,138,1533,"regulation of cell proliferation","BP"
"GO:0002790",2.53079689082523e-06,0.999998918859402,64,571,"peptide secretion","BP"
"GO:0050900",2.75982356901981e-06,0.99999893804043,38,281,"leukocyte migration","BP"
"GO:0042110",3.03707112285679e-06,0.999998780261355,52,437,"T cell activation","BP"
"GO:0008283",3.53617870985987e-06,0.999997966343249,160,1842,"cell proliferation","BP"
"GO:0006875",3.58146984464899e-06,0.999998390129221,57,494,"cellular metal ion homeostasis","BP"
"GO:0001817",3.65554098256122e-06,0.999998415409043,65,595,"regulation of cytokine production","BP"
"GO:0002443",3.99237252131277e-06,0.999998350352935,43,341,"leukocyte mediated immunity","BP"
"GO:0002429",4.06914397255836e-06,0.999998580065323,31,210,"immune response-activating cell surface receptor signaling pathway","BP"
"GO:0007596",4.48716633577116e-06,0.99999863905861,25,150,"blood coagulation","BP"
"GO:0002768",4.69160718991473e-06,0.999998317590381,32,222,"immune response-regulating cell surface receptor signaling pathway","BP"
"GO:0070227",5.08636595874635e-06,0.999998880026249,17,80,"lymphocyte apoptotic process","BP"
"GO:0032496",5.3099301776017e-06,0.999998014376825,34,243,"response to lipopolysaccharide","BP"
"GO:0007599",5.6827328144532e-06,0.999998249995338,25,152,"hemostasis","BP"
"GO:0030193",5.72916047904386e-06,0.999998800309863,16,73,"regulation of blood coagulation","BP"
"GO:1900046",5.72916047904386e-06,0.999998800309863,16,73,"regulation of hemostasis","BP"
"GO:0010941",5.7748889968649e-06,0.999996553265154,142,1609,"regulation of cell death","BP"
"GO:0002460",6.15228217451939e-06,0.999997570359776,37,279,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"GO:0001816",6.84030477180801e-06,0.999996529375528,70,666,"cytokine production","BP"
"GO:0002495",7.01837587629524e-06,0.999999461963572,8,19,"antigen processing and presentation of peptide antigen via MHC class II","BP"
"GO:0050851",8.0814886608156e-06,0.999997249822288,28,186,"antigen receptor-mediated signaling pathway","BP"
"GO:0048518",8.63851736829972e-06,0.999993867901341,393,5313,"positive regulation of biological process","BP"
"GO:0032963",9.27766044883154e-06,0.999997848205285,17,83,"collagen metabolic process","BP"
"GO:0043067",9.33108059770779e-06,0.999994460083629,131,1473,"regulation of programmed cell death","BP"
"GO:0006959",1.00164711955843e-05,0.999996708368735,26,170,"humoral immune response","BP"
"GO:0044281",1.16409066594418e-05,0.999992747331199,145,1690,"small molecule metabolic process","BP"
"GO:0055082",1.18119198064934e-05,0.999993750536599,72,695,"cellular chemical homeostasis","BP"
"GO:0002504",1.19985497286023e-05,0.999998985841357,8,20,"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","BP"
"GO:0019884",1.23123966541214e-05,0.999998691585474,9,26,"antigen processing and presentation of exogenous antigen","BP"
"GO:0009966",1.24321277055373e-05,0.999991686223812,205,2509,"regulation of signal transduction","BP"
"GO:0006909",1.28429848501277e-05,0.999995222667013,31,221,"phagocytosis","BP"
"GO:0006954",1.42139456966575e-05,0.999992785249698,62,583,"inflammatory response","BP"
"GO:0048002",1.58342675230381e-05,0.999997069337548,13,55,"antigen processing and presentation of peptide antigen","BP"
"GO:0048513",1.60976713566241e-05,0.999988744099649,242,3039,"animal organ development","BP"
"GO:0001819",1.63634954315965e-05,0.99999260574119,45,380,"positive regulation of cytokine production","BP"
"GO:0002791",1.6909183495854e-05,0.999991892625169,52,459,"regulation of peptide secretion","BP"
"GO:0050708",1.69756794101491e-05,0.999992046090036,49,423,"regulation of protein secretion","BP"
"GO:0006793",1.89465047984448e-05,0.999986851978536,223,2807,"phosphorus metabolic process","BP"
"GO:0098542",1.96215019778012e-05,0.999990674632571,50,443,"defense response to other organism","BP"
"GO:0002683",2.03077878820619e-05,0.999990488687204,48,420,"negative regulation of immune system process","BP"
"GO:0002699",2.05526224645647e-05,0.999992763136409,27,185,"positive regulation of immune effector process","BP"
"GO:1902531",2.12793057128893e-05,0.999986413402134,136,1558,"regulation of intracellular signal transduction","BP"
"GO:0002696",2.15675457354751e-05,0.999990595390144,40,328,"positive regulation of leukocyte activation","BP"
"GO:0030003",2.21349100473651e-05,0.999988718364612,60,560,"cellular cation homeostasis","BP"
"GO:0042981",2.31487288393038e-05,0.999985364894715,128,1457,"regulation of apoptotic process","BP"
"GO:0006796",2.33550115122026e-05,0.999983702261047,218,2742,"phosphate-containing compound metabolic process","BP"
"GO:0050830",2.35131485600143e-05,0.999994729609659,15,72,"defense response to Gram-positive bacterium","BP"
"GO:1901681",2.42365048408672e-05,0.999990830815965,30,214,"sulfur compound binding","MF"
"GO:0070228",2.53390325976539e-05,0.999994664789706,14,64,"regulation of lymphocyte apoptotic process","BP"
"GO:0006873",2.54016274369233e-05,0.999986820243619,61,575,"cellular ion homeostasis","BP"
"GO:0055065",2.59251677129723e-05,0.999986539589087,61,574,"metal ion homeostasis","BP"
"GO:0050867",2.60711559816986e-05,0.999988399143458,41,342,"positive regulation of cell activation","BP"
"GO:0009967",2.76574535723275e-05,0.999982731315508,118,1320,"positive regulation of signal transduction","BP"
"GO:0051251",2.85171166512368e-05,0.999987997046838,36,286,"positive regulation of lymphocyte activation","BP"
"GO:0046983",2.97327906918738e-05,0.99998146834258,116,1300,"protein dimerization activity","MF"
"GO:0050863",2.99088105379787e-05,0.999987556512253,35,275,"regulation of T cell activation","BP"
"GO:0005488",3.10059029674212e-05,0.999976881229613,785,11737,"binding","MF"
"GO:0044130",3.10262028311628e-05,0.999997583490245,7,17,"negative regulation of growth of symbiont in host","BP"
"GO:0030029",3.25118716679927e-05,0.999982157902494,71,695,"actin filament-based process","BP"
"GO:0072503",3.39300595679508e-05,0.999983683942474,48,422,"cellular divalent inorganic cation homeostasis","BP"
"GO:0042098",3.57268318801165e-05,0.999986974751174,27,190,"T cell proliferation","BP"
"GO:0004869",3.70550170666217e-05,0.999992481337137,13,58,"cysteine-type endopeptidase inhibitor activity","MF"
"GO:0051270",3.76529175423723e-05,0.999977990813712,86,890,"regulation of cellular component movement","BP"
"GO:0006816",3.77913172771123e-05,0.999982376809813,44,374,"calcium ion transport","BP"
"GO:0051240",3.78929837416781e-05,0.999975256329878,139,1621,"positive regulation of multicellular organismal process","BP"
"GO:0030834",3.94008509890193e-05,0.999992689942303,12,48,"regulation of actin filament depolymerization","BP"
"GO:0072604",4.18389418956682e-05,0.999993726268572,10,36,"interleukin-6 secretion","BP"
"GO:0048878",4.27497868908542e-05,0.999974219161965,96,1035,"chemical homeostasis","BP"
"GO:0002697",4.55350847367605e-05,0.999979614588126,39,327,"regulation of immune effector process","BP"
"GO:0032675",4.55465032101714e-05,0.999986160880291,20,122,"regulation of interleukin-6 production","BP"
"GO:0044126",4.93589133151108e-05,0.999995758078115,7,18,"regulation of growth of symbiont in host","BP"
"GO:0060402",4.93754828842304e-05,0.99998387538529,22,139,"calcium ion transport into cytosol","BP"
"GO:0048519",4.994192785493e-05,0.999962475752317,350,4736,"negative regulation of biological process","BP"
"GO:0019725",5.0682827085163e-05,0.999970860949826,78,805,"cellular homeostasis","BP"
"GO:0051209",5.0787105569037e-05,0.999985656292321,18,102,"release of sequestered calcium ion into cytosol","BP"
"GO:0051283",5.0787105569037e-05,0.999985656292321,18,102,"negative regulation of sequestering of calcium ion","BP"
"GO:0034097",5.33465728642129e-05,0.99996995366201,72,736,"response to cytokine","BP"
"GO:0016310",5.48627441515287e-05,0.999962551460044,165,2006,"phosphorylation","BP"
"GO:0010959",5.58333953838633e-05,0.999973681044225,43,371,"regulation of metal ion transport","BP"
"04380",5.65937400082752e-05,0.999983167447518,19,113,"Osteoclast differentiation","KEGG"
"GO:0006468",5.67529021876753e-05,0.999962268991952,143,1691,"protein phosphorylation","BP"
"GO:0051282",5.77637661615397e-05,0.999983501954874,18,103,"regulation of sequestering of calcium ion","BP"
"GO:0010522",5.78461434643987e-05,0.999984217620941,17,94,"regulation of calcium ion transport into cytosol","BP"
"GO:0032970",5.8240745451963e-05,0.999972501186604,43,368,"regulation of actin filament-based process","BP"
"GO:0071345",5.92949635769806e-05,0.999967486341965,65,648,"cellular response to cytokine stimulus","BP"
"GO:0060401",5.98636625147011e-05,0.999979571565254,23,151,"cytosolic calcium ion transport","BP"
"GO:0072507",6.35768088298953e-05,0.999968346009071,49,444,"divalent inorganic cation homeostasis","BP"
"GO:1903037",6.55166777072083e-05,0.999972779861557,32,252,"regulation of leukocyte cell-cell adhesion","BP"
"GO:0070838",6.59656564205054e-05,0.999967535378663,47,419,"divalent metal ion transport","BP"
"GO:0001906",6.63307107392709e-05,0.999979972123295,19,117,"cell killing","BP"
"GO:0051208",6.64831620695814e-05,0.999980778612577,18,104,"sequestering of calcium ion","BP"
"GO:1901879",6.71334779068373e-05,0.999982431970524,16,82,"regulation of protein depolymerization","BP"
"GO:0042592",6.78975919847152e-05,0.999954862064256,138,1621,"homeostatic process","BP"
"GO:0006897",6.90451106737881e-05,0.999962687773997,61,593,"endocytosis","BP"
"GO:0044146",7.18620874218373e-05,0.999993303181855,7,19,"negative regulation of growth of symbiont involved in interaction with host","BP"
"GO:0002263",7.25360612189414e-05,0.999971204867646,29,219,"cell activation involved in immune response","BP"
"GO:0072511",7.44612748732356e-05,0.999963154478303,47,421,"divalent inorganic cation transport","BP"
"GO:1903039",7.51511010159319e-05,0.999972514385323,25,177,"positive regulation of leukocyte cell-cell adhesion","BP"
"05140",7.65384436403163e-05,0.999983142727422,13,62,"Leishmaniasis","KEGG"
"04012",7.78777379760935e-05,0.999979277722505,16,85,"ErbB signaling pathway","KEGG"
"GO:0050870",7.82530211111508e-05,0.999972001002921,24,167,"positive regulation of T cell activation","BP"
"GO:0050789",7.93791720911968e-05,0.999938554288904,659,9676,"regulation of biological process","BP"
"GO:0001932",8.09893713178873e-05,0.999948011123652,113,1288,"regulation of protein phosphorylation","BP"
"GO:1990266",8.30440408605154e-05,0.99997765901042,16,90,"neutrophil migration","BP"
"GO:2000778",8.32170778846975e-05,0.999989986755867,8,25,"positive regulation of interleukin-6 secretion","BP"
"GO:0071706",8.33942436294381e-05,0.999972492688776,21,137,"tumor necrosis factor superfamily cytokine production","BP"
"04970",8.51297818418247e-05,0.999978445675827,15,75,"Salivary secretion","KEGG"
"GO:1902903",8.69641480006712e-05,0.999959799258762,39,325,"regulation of supramolecular fiber organization","BP"
"GO:0019210",8.76701519089732e-05,0.999976324547524,16,89,"kinase inhibitor activity","MF"
"GO:0030042",8.86205885317445e-05,0.999981837480473,12,52,"actin filament depolymerization","BP"
"GO:0098771",8.92813598628232e-05,0.999949976137919,66,662,"inorganic ion homeostasis","BP"
"GO:0097435",8.96517998533593e-05,0.999950241810358,64,629,"supramolecular fiber organization","BP"
"GO:0019886",9.17131052574664e-05,0.999993450337891,6,14,"antigen processing and presentation of exogenous peptide antigen via MHC class II","BP"
"GO:0032635",9.59242678813079e-05,0.999969060296492,20,128,"interleukin-6 production","BP"
"GO:2000145",9.64532533004784e-05,0.999943210011024,78,811,"regulation of cell motility","BP"
"GO:0030888",9.86862280577255e-05,0.999977647162554,13,63,"regulation of B cell proliferation","BP"
"GO:0065007",9.86928570617066e-05,0.999923457067315,691,10219,"biological regulation","BP"
"GO:0023051",9.90553225694238e-05,0.999928238489704,224,2865,"regulation of signaling","BP"
"05200",0.000101499437703599,0.999953220141594,38,318,"Pathways in cancer","KEGG"
"GO:0043242",0.00010567985398035,0.999972659097721,15,76,"negative regulation of protein complex disassembly","BP"
"GO:0046903",0.000105781559068009,0.999934102995894,96,1060,"secretion","BP"
"GO:1902533",0.000106050379020275,0.999936411407788,82,876,"positive regulation of intracellular signal transduction","BP"
"GO:0044144",0.000107228497987362,0.99998914523258,7,20,"modulation of growth of symbiont involved in interaction with host","BP"
"GO:0050801",0.000112423938009885,0.999935290506867,70,719,"ion homeostasis","BP"
"GO:0010646",0.000115728930638899,0.999915899443999,222,2842,"regulation of cell communication","BP"
"GO:0080134",0.00012036918875142,0.999923905737496,100,1128,"regulation of response to stress","BP"
